"vibes","Movie","Name","Year","PP","DD","MM","FF","Ch","Nom","Pic","Dir","Aml","Afl","Ams","Afs","Scr","Cin","PrNl","PrWl","PrNs","PrWs","PrN","PrW","Gdr","Gmc","Gd","Gm1","Gm2","Gf1","Gf2","PGA","DGA","SAM","SAF","SAE","Age","Length","Days","WR","rating_val"
4.16666666666667,"Wicked","Wicked","2024","1","0","0","0","0",10,"1","0",0,1,0,1,0,"0",1,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",37,160,100,7.6,5.41379310344828
3.33333333333333,"American Fiction","Jeffrey Wright","2023","0","0","1","0","0",5,"1","1",1,0,1,0,1,"0",1,0,1,0,2,0,0,"0","0","0","0",0,"0","1","0","0","0","0",59,117,436,7.5,3.33333333333333
3.33333333333333,"American Fiction","American Fiction","2023","1","0","0","0","0",5,"1","1",1,0,1,0,1,"0",1,0,1,0,2,0,0,"0","0","0","0",0,"0","1","0","0","0","0",52,117,436,7.5,3.33333333333333
8.33333333333333,"Anatomy of a Fall","Sandra Huller","2023","0","0","0","1","0",5,"1","1",0,1,0,0,1,"0",6,3,0,0,0,0,1,"0","0","0","0",1,"0","0","0","0","1","0",46,152,210,7.6,8.33333333333333
7.5,"Anatomy of a Fall","Justine Triet","2023","0","1","0","0","0",5,"1","1",0,1,0,0,1,"0",0,0,0,0,0,0,1,"0","0","0","0",1,"0","0","0","0","1","0",46,152,210,7.6,7.5
10,"Anatomy of a Fall","Anatomy of a Fall","2023","1","0","0","0","0",5,"1","1",0,1,0,0,1,"0",0,0,0,0,0,0,1,"0","0","0","0",1,"0","0","0","0","1","0",46,152,210,7.6,10
6.66666666666667,"Barbie","Barbie","2023","1","0","0","0","0",8,"0","0",0,0,1,1,1,"0",2,2,2,0,5,2,0,"1","1","0","0",0,"0","0","0","0","0","0",34,114,240,6.8,7.75
6.66666666666667,"Killers of the Flower Moon","Lily Gladstone","2023","0","0","0","1","0",10,"1","1",0,1,1,0,0,"1",1,0,1,0,2,0,0,"0","0","0","0",1,"0","0","0","0","1","0",38,206,142,7.6,6.66666666666667
3.33333333333333,"Killers of the Flower Moon","Martin Scorcese","2023","0","1","0","0","0",10,"1","1",0,1,1,0,0,"1",1,0,1,0,2,0,0,"0","0","0","0",1,"0","0","0","0","1","0",82,206,142,7.6,3.33333333333333
5.83333333333333,"Killers of the Flower Moon","Killers of the Flower Moon","2023","1","0","0","0","0",10,"1","1",0,1,1,0,0,"1",1,0,1,0,2,0,0,"0","0","0","0",1,"0","0","0","0","1","0",NA,206,142,7.6,5.83333333333333
4.16666666666667,"Maestro","Bradley Cooper","2023","0","0","1","0","0",7,"1","0",1,1,0,0,1,"1",2,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",50,129,190,6.5,6.26315789473684
1.66666666666667,"Maestro","Carey Mulligan","2023","0","0","0","1","0",7,"1","0",1,1,0,0,1,"1",2,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",39,129,190,6.5,6.26315789473684
2.5,"Maestro","Maestro","2023","1","0","0","0","0",7,"1","0",1,1,0,0,1,"1",2,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,129,190,6.5,6.26315789473684
4.16666666666667,"Nyad","Annette Bening","2023","0","0","0","1","0",2,"0","0",0,1,0,1,0,"0",0,0,0,0,0,0,1,"0","0","0","0",1,"0","0","0","0","1","0",67,121,491,7.1,4.16666666666667
10,"Oppenheimer","Cillian Murphy","2023","0","0","1","0","1",7,"1","1",1,0,1,1,1,"1",1,1,2,2,1,1,1,"0","1","1","0",0,"0","0","1","0","0","1",49,180,596,8.3,4
